                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.286,                0.82147,                      1,                 1.4966,             0.00023676,             0.00023676,             0.00023676
                      2,                0.14756,                0.97025,                      1,                  1.334,             0.00045909,             0.00045909,             0.00045909
                      3,                0.06724,                0.96507,                      1,                  1.322,             0.00066572,             0.00066572,             0.00066572
                      4,                0.04891,                0.93273,                      1,                 1.3622,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.0265,                 0.9586,                      1,                 1.3155,             0.00064331,             0.00064331,             0.00064331
                      6,                0.02288,                0.96119,                      1,                 1.3143,             0.00061975,             0.00061975,             0.00061975
                      7,                0.01666,                0.99612,                      1,                 1.2809,             0.00059619,             0.00059619,             0.00059619
                      8,                0.01605,                0.91979,                      1,                 1.3436,             0.00057263,             0.00057263,             0.00057263
                      9,                0.01539,                0.95731,                      1,                  1.323,             0.00054907,             0.00054907,             0.00054907
                     10,                0.00825,                0.96766,                      1,                 1.3091,              0.0005255,              0.0005255,              0.0005255
                     11,                0.01712,                0.99224,                      1,                 1.2884,             0.00050194,             0.00050194,             0.00050194
                     12,                0.01604,                0.94696,                      1,                 1.3263,             0.00047838,             0.00047838,             0.00047838
                     13,                0.00713,                 0.9806,                      1,                 1.3022,             0.00045482,             0.00045482,             0.00045482
                     14,                0.00771,                0.95602,                      1,                 1.3175,             0.00043126,             0.00043126,             0.00043126
                     15,                0.00786,                0.94049,                      1,                 1.3327,             0.00040769,             0.00040769,             0.00040769
                     16,                 0.0056,                0.96895,                      1,                 1.3072,             0.00038413,             0.00038413,             0.00038413
                     17,                0.00544,                 0.9185,                      1,                 1.3523,             0.00036057,             0.00036057,             0.00036057
                     18,                0.00872,                0.96895,                      1,                 1.3035,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00509,                0.97283,                      1,                 1.3001,             0.00031345,             0.00031345,             0.00031345
                     20,                 0.0043,                0.96766,                      1,                  1.303,             0.00028988,             0.00028988,             0.00028988
                     21,                0.00287,                0.99483,                      1,                 1.2849,             0.00026632,             0.00026632,             0.00026632
                     22,                0.00356,                0.99353,                      1,                 1.2857,             0.00024276,             0.00024276,             0.00024276
                     23,                 0.0034,                0.99353,                      1,                 1.2834,              0.0002192,              0.0002192,              0.0002192
                     24,                0.00449,                0.99224,                      1,                 1.2871,             0.00019564,             0.00019564,             0.00019564
                     25,                0.00507,                0.98836,                      1,                 1.2901,             0.00017207,             0.00017207,             0.00017207
                     26,                0.00252,                0.99094,                      1,                 1.2869,             0.00014851,             0.00014851,             0.00014851
                     27,                0.00379,                0.98189,                      1,                 1.2961,             0.00012495,             0.00012495,             0.00012495
                     28,                0.00331,                 0.9793,                      1,                 1.2927,             0.00010139,             0.00010139,             0.00010139
                     29,                 0.0025,                0.99353,                      1,                  1.287,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 0.0046,                0.98318,                      1,                 1.2915,             5.4264e-05,             5.4264e-05,             5.4264e-05
